iter	Passed	Remaining
0	147	147809
1	149	74463
2	150	49965
3	151	37728
4	152	30356
5	153	25472
6	154	21981
7	156	19360
8	157	17347
9	158	15714
10	159	14369
11	161	13268
12	162	12333
13	163	11528
14	164	10830
15	166	10217
16	167	9694
17	169	9227
18	170	8803
19	171	8423
20	173	8068
21	174	7765
22	176	7482
23	177	7218
24	178	6974
25	180	6745
26	181	6530
27	182	6335
28	184	6162
29	185	5997
30	186	5835
31	187	5685
32	189	5540
33	190	5404
34	191	5274
35	192	5155
36	193	5041
37	194	4935
38	196	4836
39	197	4737
40	198	4646
41	199	4557
42	200	4469
43	202	4389
44	203	4318
45	204	4250
46	206	4182
47	207	4115
48	208	4052
49	209	3987
50	211	3928
51	212	3875
52	213	3820
53	215	3772
54	216	3720
55	217	3671
56	218	3621
57	220	3575
58	221	3533
59	222	3489
60	223	3447
61	225	3406
62	226	3366
63	227	3327
64	228	3288
65	229	3250
66	230	3214
67	232	3180
68	233	3146
69	234	3112
70	235	3078
71	236	3051
72	238	3023
73	239	2995
74	240	2967
75	241	2938
76	242	2910
77	243	2882
78	245	2856
79	246	2830
80	247	2804
81	248	2781
82	249	2751
83	250	2728
84	251	2708
85	252	2686
86	253	2664
87	254	2642
88	255	2620
89	257	2599
90	258	2578
91	259	2558
92	260	2539
93	261	2520
94	262	2501
95	263	2483
96	264	2464
97	265	2447
98	267	2430
99	268	2415
100	269	2399
101	270	2382
102	271	2365
103	272	2351
104	274	2337
105	275	2323
106	276	2308
107	277	2293
108	278	2278
109	279	2264
110	280	2249
111	281	2235
112	283	2222
113	284	2209
114	285	2196
115	286	2183
116	287	2169
117	288	2156
118	289	2143
119	290	2131
120	291	2120
121	292	2107
122	294	2097
123	295	2087
124	296	2076
125	297	2067
126	299	2055
127	300	2045
128	301	2035
129	302	2027
130	304	2017
131	305	2007
132	306	1997
133	307	1987
134	308	1978
135	309	1968
136	311	1960
137	312	1952
138	313	1944
139	315	1935
140	316	1926
141	316	1914
142	318	1906
143	319	1897
144	320	1888
145	321	1879
146	322	1870
147	323	1861
148	324	1853
149	325	1845
150	326	1836
151	327	1829
152	329	1821
153	330	1813
154	331	1806
155	332	1800
156	334	1794
157	335	1787
158	336	1779
159	337	1772
160	338	1763
161	339	1757
162	340	1750
163	342	1743
164	343	1737
165	344	1731
166	345	1724
167	346	1717
168	348	1712
169	349	1707
170	350	1700
171	351	1693
172	353	1688
173	354	1681
174	355	1675
175	356	1669
176	357	1663
177	358	1657
178	359	1650
179	361	1645
180	362	1640
181	364	1636
182	365	1631
183	366	1625
184	367	1619
185	368	1613
186	369	1608
187	371	1603
188	372	1597
189	373	1592
190	374	1586
191	375	1580
192	376	1575
193	377	1569
194	379	1564
195	380	1559
196	381	1555
197	382	1550
198	384	1545
199	385	1540
200	386	1535
201	387	1530
202	388	1525
203	390	1522
204	392	1520
205	394	1519
206	395	1515
207	396	1511
208	398	1506
209	399	1501
210	400	1497
211	401	1493
212	402	1488
213	403	1483
214	404	1477
215	406	1474
216	407	1469
217	408	1465
218	409	1460
219	410	1456
220	412	1453
221	413	1449
222	414	1444
223	415	1440
224	417	1436
225	418	1431
226	419	1428
227	420	1424
228	422	1420
229	423	1417
230	425	1415
231	426	1412
232	427	1407
233	428	1403
234	429	1399
235	431	1395
236	432	1391
237	433	1386
238	434	1382
239	435	1378
240	436	1374
241	437	1370
242	438	1366
243	439	1362
244	440	1358
245	442	1354
246	443	1351
247	444	1347
248	445	1343
249	446	1340
250	447	1336
251	449	1333
252	450	1329
253	451	1325
254	452	1322
255	453	1318
256	455	1315
257	456	1312
258	457	1308
259	458	1305
260	459	1301
261	460	1298
262	462	1294
263	463	1291
264	464	1287
265	465	1284
266	466	1281
267	467	1278
268	469	1274
269	470	1271
270	471	1268
271	472	1265
272	474	1262
273	475	1258
274	476	1255
275	477	1252
276	478	1248
277	479	1245
278	480	1242
